FIFA_name	FIFA_short	FIFA_confederation	First_game
Montserrat	MSR	CONCACAF	1991
Tajikistan	TJK	AFC	1992
Uzbekistan	UZB	AFC	1992
Turkmenistan	TKM	AFC	1992
Eritrea	ERI	CAF	1992
Czech Republic	CZE	UEFA	1993
Gibraltar	GIB	UEFA	1993
FYR Macedonia	MKD	UEFA	1993
Bosnia and Herzegovina	BIH	UEFA	1995
Maldives	MDV	AFC	1996
Andorra	AND	UEFA	1996
US Virgin Islands	VIR	CONCACAF	1998
Turks and Caicos Islands	TCA	CONCACAF	1999
Timor-Leste	TLS	AFC	2003
Kosovo	KOS	UEFA	2006
Comoros	COM	CAF	2006
South Sudan	SSD	CAF	2012
